"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.755273210E-1,-3.991436660E-1,-5.257987976E-2,-3.720474243E-1,5.481784343E-1
4.835533020E-1,-1.480895162E0,6.361708641E-1,-1.961617470E-1,1.623651218E0
4.916098000E-1,-2.401667595E0,7.805886269E-1,8.395242691E-2,2.526731852E0
4.996357810E-1,-1.828431249E0,8.559083939E-1,4.554944038E-1,2.069592994E0
5.076617620E-1,-8.651623130E-1,5.200977325E-1,3.029131889E-1,1.053927834E0
5.156877440E-1,4.955810308E-2,1.517081261E-1,4.664011002E-1,4.929516683E-1
5.237442420E-1,5.786507130E-1,1.412940025E-1,6.752738953E-1,9.004418229E-1
5.317702240E-1,1.121495962E0,3.599324226E-1,1.141762257E0,1.640404094E0
5.397962050E-1,1.385643125E0,7.206773758E-1,1.559319973E0,2.207002838E0
5.478221860E-1,1.381804943E0,9.580316544E-1,1.984499454E0,2.601047411E0
5.558481680E-1,1.810106874E0,8.952822685E-1,2.215061665E0,2.997418124E0
5.639046660E-1,2.340171814E0,4.206252098E-1,2.165813446E0,3.216221007E0
5.719306480E-1,2.533816814E0,4.082398415E-1,2.150799274E0,3.348555649E0
5.799566290E-1,2.384260893E0,1.117299080E0,2.092107296E0,3.363029910E0
5.879826100E-1,1.903015375E0,2.055909157E0,1.674602032E0,3.263820146E0
5.960085920E-1,1.573675156E0,2.497303963E0,1.010870457E0,3.120070457E0
6.040650900E-1,1.850688934E0,1.962004662E0,1.745548248E-1,2.702772874E0
6.120910720E-1,1.978350401E0,1.643086910E0,-9.368753433E-2,2.573398970E0
6.201170530E-1,2.008713722E0,1.710937977E0,-3.128957748E-1,2.657093025E0
6.281430340E-1,2.255265713E0,1.108695507E0,-7.833614349E-1,2.632315388E0
6.361995320E-1,1.919500589E0,1.583322525E0,-6.994161606E-1,2.584680966E0
6.442255130E-1,2.048350811E0,1.666171551E0,-6.318454742E-1,2.714976498E0
6.522514950E-1,2.619138241E0,1.179766178E0,-6.838474274E-1,2.952859743E0
6.602774770E-1,2.987433672E0,7.143559456E-1,-4.449400902E-1,3.103713267E0
6.683339750E-1,2.892074823E0,6.041536331E-1,-4.910550117E-1,2.995034795E0
6.763599560E-1,2.703915119E0,2.530479431E-1,-3.962545395E-1,2.744486818E0
6.843859370E-1,2.465743542E0,1.330871582E-1,-3.947420120E-1,2.500684838E0
6.924119190E-1,1.962692499E0,1.507282257E-2,-4.935240746E-1,2.023846597E0
7.004379000E-1,2.066098452E0,-4.496383667E-1,-5.305919647E-1,2.180014978E0
7.084943990E-1,2.165626049E0,-6.283946037E-1,-7.084493637E-1,2.363623587E0
7.165203800E-1,1.597145796E0,-6.958212852E-1,-7.947158813E-1,1.914840799E0
7.245463610E-1,1.284981847E0,-1.380750418E0,-8.459644318E-1,2.067197592E0
7.325723430E-1,1.178798079E0,-1.553949833E0,-4.525442123E-1,2.002279016E0
7.405983240E-1,6.616410613E-1,-1.576534033E0,-7.823371887E-2,1.711534097E0
7.486548230E-1,3.932275176E-1,-1.720737934E0,5.300140381E-2,1.765892428E0
7.566808040E-1,4.176836014E-1,-1.799472570E0,2.891626358E-1,1.869806448E0
7.647067850E-1,7.369042039E-1,-1.875514984E0,5.410366058E-1,2.086457493E0
7.727327670E-1,9.251464605E-1,-1.955706596E0,4.516448975E-1,2.210128362E0
7.807587480E-1,9.105794430E-1,-2.093593359E0,2.330713272E-1,2.294909654E0
7.888152470E-1,9.813529849E-1,-1.977542639E0,8.418560028E-2,2.209256840E0
7.968412280E-1,8.198289871E-1,-1.648448944E0,-6.792545319E-2,1.842313045E0
8.048672090E-1,2.843517065E-1,-1.242128611E0,-2.233877182E-1,1.293692951E0
8.128931910E-1,8.175849915E-2,-1.120675802E0,-3.475770950E-1,1.176183890E0
8.209191720E-1,5.872845650E-2,-1.329324722E0,-8.513650894E-1,1.579675842E0
8.289756700E-1,5.607020855E-1,-1.341748476E0,-1.170149803E0,1.866527890E0
8.370016510E-1,6.805193424E-1,-1.150102377E0,-1.375261307E0,1.917598945E0
8.450276330E-1,5.797103643E-1,-9.110376835E-1,-2.051495075E0,2.318336863E0
8.530536140E-1,5.872052908E-1,-5.189828873E-1,-3.087993622E0,3.185884163E0
8.610795960E-1,2.039408684E-1,-1.221189499E-1,-3.363915920E0,3.372304143E0
8.691360940E-1,3.135654926E-1,3.000173569E-1,-3.079358101E0,3.109787782E0
8.771620750E-1,3.780210018E-1,3.541433811E-1,-2.708488464E0,2.757576322E0
8.851880560E-1,1.444001198E-1,-1.013078690E-1,-2.416231632E0,2.422661755E0
8.932140370E-1,1.179177642E0,-1.785387993E-1,-1.978263855E0,2.309948894E0
9.012705360E-1,1.382615209E0,-1.690733433E-1,-1.351717472E0,1.940966444E0
9.092965180E-1,2.071148634E0,-9.239387512E-2,-6.468257904E-1,2.171768150E0
9.173224990E-1,2.073755980E0,-2.647449970E-1,-3.642320633E-1,2.122078880E0
9.253789980E-1,1.803525448E0,-1.801152229E-1,-4.041194916E-1,1.857002450E0
9.334049790E-1,1.509720683E0,1.042819023E-2,-4.136610031E-1,1.565401135E0
9.414309600E-1,1.491486430E0,-6.692552567E-1,-2.366285324E-1,1.651795215E0
9.494569420E-1,1.636228800E0,-6.693760157E-1,2.845859528E-1,1.790613889E0
9.575134390E-1,2.210780382E0,-8.988626003E-1,3.379564285E-1,2.410335748E0
9.655394220E-1,1.642516613E0,-2.169559002E-1,7.016344070E-1,1.799228037E0
9.735654030E-1,3.897936344E-1,9.946327209E-1,3.870964050E-1,1.136255673E0
9.816219010E-1,1.036764979E0,2.184417248E-1,-7.375850677E-1,1.290980303E0
9.896478820E-1,1.219135642E0,-3.016161919E-2,-1.799087524E-1,1.232707831E0
9.976738630E-1,9.462474585E-1,1.426396370E-1,8.762149811E-1,1.297491045E0
1.005730362E0,1.459237695E0,-1.112521887E-1,8.629789352E-1,1.698965668E0
1.013756343E0,1.356086493E0,2.125537395E-2,1.074723244E0,1.730448617E0
1.021782325E0,1.231827855E0,6.594502926E-2,1.312924385E0,1.801532418E0
1.029808306E0,9.545086622E-1,3.479540348E-3,1.542027473E0,1.813545594E0
1.037864805E0,5.791168213E-1,-2.898754478E-1,1.749798775E0,1.865797368E0
1.045890786E0,4.670948982E-1,-4.909253418E-1,1.746495247E0,1.873347534E0
1.053916767E0,6.240061522E-1,-3.772804141E-1,2.001420021E0,2.130118844E0
1.061942749E0,9.274030924E-1,-3.432134092E-1,2.160066605E0,2.375659840E0
1.069999246E0,1.125880837E0,-4.137081504E-1,2.175563812E0,2.484318819E0
1.078025228E0,8.572269678E-1,-3.268926740E-1,2.572470665E0,2.731172315E0
1.086051210E0,4.385530949E-1,-4.453888834E-1,2.517270088E0,2.593713317E0
1.094077191E0,2.481877804E-1,-3.786301315E-1,2.439592361E0,2.481243406E0
1.102133689E0,5.531452894E-1,-1.551382422E0,2.715832710E0,3.176240615E0
1.110159670E0,4.676496983E-1,-1.765070677E0,3.290073395E0,3.762811938E0
1.118185652E0,1.360135078E-1,-1.423984051E0,3.496576309E0,3.777866612E0
1.126211633E0,2.324662209E-1,-1.353196502E0,3.271654129E0,3.548084280E0
1.134268132E0,-4.264051914E-1,-9.969596863E-1,3.434978485E0,3.602058744E0
1.142294113E0,-2.734851837E-1,-9.645103216E-1,3.042857170E0,3.203756243E0
1.150320094E0,2.363688946E-1,-1.473259449E0,2.544139862E0,2.949408635E0
1.158346076E0,3.106038570E-1,-1.035440564E0,3.429735184E0,3.596066650E0
1.166372057E0,-6.052258015E-1,-5.455304980E-1,3.115919113E0,3.220691496E0
1.174428556E0,-1.188302279E0,-5.877128243E-1,2.351265907E0,2.699244345E0
1.182454537E0,-1.272600651E0,-9.835242629E-1,2.143704414E0,2.679981531E0
1.190480518E0,-1.166339397E0,-1.280750871E0,2.256262779E0,2.844537240E0
1.198506500E0,-1.165654659E0,-1.399702549E0,2.373393059E0,2.991807584E0
1.206562998E0,-1.244215965E0,-1.515518427E0,2.394015312E0,3.094540157E0
1.214588980E0,-1.356818676E0,-1.540261269E0,2.090681076E0,2.929899155E0
1.222614961E0,-1.334547758E0,-1.612491846E0,1.744415283E0,2.724726106E0
1.230640942E0,-1.126956701E0,-1.747086763E0,1.359488487E0,2.484059684E0
1.238697440E0,-8.117301464E-1,-1.900134563E0,1.117837906E0,2.349250683E0
1.246723421E0,-7.061560154E-1,-1.881997943E0,8.518371582E-1,2.183162642E0
1.254749403E0,-8.643143177E-1,-1.691298723E0,3.150806427E-1,1.925306838E0
1.262775384E0,-3.693342209E-1,-1.557320833E0,-3.381047249E-1,1.635839463E0
1.270831883E0,7.313275337E-2,-1.906287909E0,7.655649185E-1,2.055570878E0
1.278857864E0,8.178162575E-1,-2.681728125E0,5.319480896E-1,2.853674462E0
1.286883845E0,4.834716320E-1,-8.998022079E-1,-2.588398457E0,2.782659771E0
1.294940344E0,-6.825411320E-1,7.864174843E-1,-2.636302948E0,2.834503147E0
1.302966325E0,-1.736595392E0,5.809812546E-1,-8.425645828E-1,2.015742506E0
1.310992307E0,-2.368777990E0,1.650023460E-1,3.816494942E-1,2.404992989E0
1.319018288E0,-2.541669369E0,-4.535770416E-2,8.298273087E-1,2.674089352E0
1.327074787E0,-2.361058712E0,-1.738810539E-1,1.224053383E0,2.665171579E0
1.335100768E0,-2.033396482E0,-5.708336830E-1,1.337345600E0,2.499809113E0
1.343126749E0,-1.552559137E0,-8.715314865E-1,1.818254471E0,2.544809684E0
1.351152731E0,-1.375182152E0,-9.272508621E-1,2.368318558E0,2.891341022E0
1.359209229E0,-1.212501287E0,-8.809332848E-1,3.005032063E0,3.358038195E0
1.367235210E0,-1.031094790E0,-1.132527828E0,3.132748604E0,3.487103320E0
1.375261191E0,-8.972468376E-1,-1.450988770E0,3.153490067E0,3.585375838E0
1.383287172E0,-7.933580875E-1,-1.609318733E0,3.009493351E0,3.503765698E0
1.391313155E0,-9.715678692E-1,-1.595622063E0,3.020179749E0,3.551258876E0
1.399369652E0,-1.685122252E0,-1.457592964E0,2.958341599E0,3.703511748E0
1.407395634E0,-2.182439327E0,-1.787410736E0,2.467574596E0,3.747906475E0
1.415421615E0,-2.262376785E0,-2.052755356E0,2.368997574E0,3.865786178E0
1.423447596E0,-2.126245975E0,-2.218971252E0,2.176731586E0,3.766021212E0
1.431504095E0,-1.746639729E0,-2.453228474E0,1.524292946E0,3.375285065E0
1.439530076E0,-1.363366365E0,-2.405187130E0,9.810938835E-1,2.933639069E0
1.447556058E0,-9.889380932E-1,-2.111184120E0,3.674721718E-1,2.360112866E0
1.455612557E0,-9.254903793E-1,-1.853128433E0,1.077032089E-2,2.071408562E0
1.463638538E0,-7.909342051E-1,-1.891164780E0,-3.722071648E-1,2.083415300E0
1.471664519E0,-8.526378870E-1,-1.850930214E0,-5.194504261E-1,2.103036559E0
1.479690500E0,-1.080189705E0,-1.778507710E0,-4.161202908E-1,2.122040426E0
1.487746998E0,-1.219203711E0,-1.492227077E0,-5.503671169E-1,2.004021782E0
1.495772980E0,-1.527569652E0,-2.281330109E0,-4.784936905E-1,2.786914480E0
1.503798961E0,-1.944332838E0,-2.235581398E0,-5.549433231E-1,3.014335161E0
1.511855460E0,-1.726786137E0,-2.490499496E0,-1.130619049E0,3.234606242E0
1.519881441E0,-1.210006475E0,-2.569158077E0,-1.566345096E0,3.243166023E0
1.527907422E0,-1.092338562E0,-1.833453178E0,-1.192899823E0,2.444946641E0
1.535933404E0,-7.826528549E-1,-1.658178329E0,-9.716449976E-1,2.075137312E0
1.543989902E0,-7.158385515E-1,-1.666328907E0,-1.275916696E0,2.217440027E0
1.552015884E0,-9.486080408E-1,-1.713551998E0,-1.461333394E0,2.443688391E0
1.560041865E0,-1.093535900E0,-1.784727573E0,-1.059414029E0,2.345939335E0
1.568067846E0,-1.695560455E0,-1.978855610E0,-9.983787537E-1,2.790619092E0
1.576124345E0,-2.209526062E0,-2.396012783E0,-9.043846130E-1,3.382424309E0
1.584150326E0,-2.396851540E0,-2.757970333E0,-1.247347593E0,3.860980922E0
1.592176308E0,-2.514573574E0,-2.798083305E0,-1.392867565E0,4.011537174E0
1.600202289E0,-2.417884111E0,-2.805958748E0,-1.032154322E0,3.845115163E0
1.608258787E0,-1.977603197E0,-2.997663021E0,-1.214216709E0,3.790939225E0
1.616284768E0,-1.478781939E0,-2.907546520E0,-1.141580343E0,3.455984443E0
1.624310750E0,-1.081615686E0,-2.439301014E0,-8.833981156E-1,2.810778213E0
1.632367248E0,-6.233654022E-1,-1.943881035E0,-7.678835392E-1,2.181032561E0
1.640393229E0,-3.420715332E-1,-1.636452675E0,-1.065683603E0,1.982592200E0
1.648419211E0,-2.823443413E-1,-1.443116665E0,-9.105214477E-1,1.729552931E0
1.656445192E0,-3.857257366E-1,-1.434063911E0,-7.211683989E-1,1.650880827E0
1.664501691E0,-1.036112547E0,-1.569606304E0,-5.761731863E-1,1.967020259E0
1.672527672E0,-1.218739033E0,-1.801849842E0,-1.050784588E-1,2.177849666E0
1.680553653E0,-1.044053316E0,-2.275270462E0,-5.718600750E-2,2.504031398E0
1.688579635E0,-9.797353745E-1,-2.292631149E0,1.053909063E-1,2.495425061E0
1.696636133E0,-8.976733685E-1,-2.275419235E0,6.911597252E-1,2.541859937E0
1.704662115E0,-9.863314629E-1,-2.290517807E0,7.135597467E-1,2.593933132E0
1.712688096E0,-8.887839317E-1,-2.231372356E0,8.211638927E-1,2.538359630E0
