"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.983395966E1,6.506095825E1,2.546712893E1,1.051474131E1,2.800000000E1,1.100000024E0,7.880000305E1,9.227196868E-2,2.000000000E0,4.000000000E0,2.800000000E1
4.083629878E1,6.506096257E1,2.546717000E1,1.151474426E1,2.900000000E1,9.699999690E-1,8.730000305E1,9.307055835E-2,2.000000000E0,4.000000000E0,2.700000000E1
4.183142959E1,6.506096471E1,2.546718626E1,1.251474526E1,3.000000000E1,5.999999866E-2,1.000999985E2,9.428749085E-2,2.000000000E0,3.000000000E0,3.100000000E1
4.283507289E1,6.506096915E1,2.546720998E1,1.351474622E1,3.100000000E1,9.999999404E-2,1.000999985E2,9.510138795E-2,2.000000000E0,4.000000000E0,2.800000000E1
4.382985747E1,6.506096839E1,2.546722725E1,1.351474844E1,3.100000000E1,1.299999952E-1,1.000999985E2,9.599209186E-2,2.000000000E0,3.000000000E0,2.600000000E1
4.482320462E1,6.506096936E1,2.546724611E1,1.351475018E1,3.100000000E1,0.000000000E0,NaN,9.599209186E-2,2.000000000E0,3.000000000E0,2.900000000E1
4.582157328E1,6.506096936E1,2.546724611E1,1.351475018E1,3.100000000E1,0.000000000E0,NaN,9.599209186E-2,2.000000000E0,3.000000000E0,2.600000000E1
4.682656931E1,6.506096936E1,2.546724611E1,1.351475018E1,3.100000000E1,0.000000000E0,NaN,9.599209186E-2,2.000000000E0,3.000000000E0,2.700000000E1
4.782308720E1,6.506096936E1,2.546724611E1,1.351475018E1,3.100000000E1,0.000000000E0,NaN,9.764631194E-2,2.000000000E0,3.000000000E0,2.800000000E1
4.883174739E1,6.506097979E1,2.546727126E1,1.351474901E1,3.100000000E1,5.199999809E-1,1.000999985E2,9.916720914E-2,2.000000000E0,3.000000000E0,2.400000000E1
4.982724358E1,6.506098507E1,2.546730118E1,1.451475035E1,3.200000000E1,5.799999833E-1,1.000999985E2,1.010952840E-1,2.000000000E0,3.000000000E0,2.600000000E1
5.084214350E1,6.506099689E1,2.546733127E1,1.451474920E1,3.200000000E1,2.899999917E-1,1.000999985E2,1.022140386E-1,2.000000000E0,3.000000000E0,2.700000000E1
5.182652162E1,6.506100372E1,2.546734879E1,1.451474856E1,3.200000000E1,2.899999917E-1,1.000999985E2,1.022786308E-1,1.500000000E0,3.000000000E0,2.800000000E1
5.282872216E1,6.506100326E1,2.546734963E1,1.451474883E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.900000000E1
5.381529485E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,3.000000000E0,2.700000000E1
5.483388831E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,3.000000000E0,3.000000000E1
5.582369900E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,3.000000000E0,2.900000000E1
5.682814638E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,3.000000000E0,2.900000000E1
5.782283961E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,3.000000000E0,2.600000000E1
5.883717307E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.800000000E1
5.983571042E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,3.000000000E0,3.100000000E1
6.083365734E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,3.000000000E0,3.100000000E1
6.182778126E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.400000000E1
6.283573838E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.700000000E1
6.382467042E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,3.000000000E1
6.482336284E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.400000000E1
6.583099253E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,3.000000000E0,2.400000000E1
6.683085626E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.800000000E1
6.781906272E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,3.000000000E0,3.100000000E1
6.881832257E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,3.000000000E0,2.700000000E1
6.982924414E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,2.000000000E0,2.600000000E1
7.083845245E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,2.000000000E0,2.600000000E1
7.182803030E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.100000000E1
7.282506729E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,3.000000000E0,2.300000000E1
7.382809279E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,3.000000000E0,2.300000000E1
7.482866472E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,2.000000000E0,2.500000000E1
7.582529202E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.300000000E1
7.683830802E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,1.500000000E0,3.000000000E0,2.500000000E1
7.784149356E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.300000000E1
7.882731352E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.600000000E1
7.983266129E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.400000000E1
8.082804117E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.400000000E1
8.182734063E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.500000000E1
8.283206775E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.400000000E1
8.382984967E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.100000000E1
8.483387436E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.500000000E1
8.583501502E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.300000000E1
8.682895055E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.400000000E1
8.782608328E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.700000000E1
8.883291351E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.800000000E1
8.981802444E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.400000000E1
9.081749424E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.600000000E1
9.181296882E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.600000000E1
9.282939390E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.400000000E1
9.382768716E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.900000000E1
9.481395497E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.035289043E-1,2.000000000E0,3.000000000E0,2.300000000E1
9.582623320E1,6.506100314E1,2.546737134E1,1.551475131E1,3.300000000E1,5.199999809E-1,1.653999939E2,1.036363750E-1,2.000000000E0,3.000000000E0,2.100000000E1
9.684040562E1,6.506100217E1,2.546737150E1,1.551475169E1,3.300000000E1,9.999999776E-3,1.653999939E2,1.036485670E-1,2.000000000E0,3.000000000E0,2.800000000E1
9.783284458E1,6.506100226E1,2.546737134E1,1.551475164E1,3.300000000E1,0.000000000E0,NaN,1.036564268E-1,2.000000000E0,3.000000000E0,2.200000000E1
9.882810243E1,6.506100226E1,2.546737117E1,1.551475162E1,3.300000000E1,0.000000000E0,NaN,1.036564268E-1,2.000000000E0,3.000000000E0,2.200000000E1
9.983454854E1,6.506100226E1,2.546737117E1,1.551475162E1,3.300000000E1,0.000000000E0,NaN,1.036564268E-1,2.000000000E0,3.000000000E0,2.400000000E1
1.008313737E2,6.506100226E1,2.546737117E1,1.551475162E1,3.300000000E1,0.000000000E0,NaN,1.036564268E-1,2.000000000E0,3.000000000E0,2.100000000E1
1.018308659E2,6.506100226E1,2.546737117E1,1.551475162E1,3.300000000E1,0.000000000E0,NaN,1.036564268E-1,2.000000000E0,3.000000000E0,2.400000000E1
